label,count
ADD_TIME_TIMER,92
ADD_TO_PLAYLIST_MUSIC,23
CREATE_ALARM,895
CREATE_PLAYLIST_MUSIC,21
CREATE_REMINDER,762
CREATE_TIMER,290
DELETE_ALARM,219
DELETE_REMINDER,223
DELETE_TIMER,83
DISLIKE_MUSIC,25
GET_ALARM,220
GET_DIRECTIONS,123
GET_DISTANCE,100
GET_ESTIMATED_ARRIVAL,107
GET_ESTIMATED_DEPARTURE,39
GET_ESTIMATED_DURATION,254
GET_EVENT,643
GET_EVENT_ORGANIZER,1
GET_INFO_ROAD_CONDITION,30
GET_INFO_ROUTE,1
GET_INFO_TRAFFIC,619
GET_LOCATION,4
GET_MESSAGE,97
GET_REMINDER,185
GET_REMINDER_AMOUNT,19
GET_REMINDER_DATE_TIME,37
GET_REMINDER_LOCATION,12
GET_SUNRISE,15
GET_SUNSET,19
GET_TIMER,171
GET_WEATHER,1474
HELP_REMINDER,1
LIKE_MUSIC,24
LOOP_MUSIC,20
PAUSE_MUSIC,42
PAUSE_TIMER,91
PLAY_MUSIC,529
PREVIOUS_TRACK_MUSIC,61
REACT_MESSAGE,31
REMOVE_FROM_PLAYLIST_MUSIC,25
REPLAY_MUSIC,76
RESTART_TIMER,49
RESUME_TIMER,77
SEND_MESSAGE,615
SET_DEFAULT_PROVIDER_MUSIC,10
SILENCE_ALARM,169
SKIP_TRACK_MUSIC,93
SNOOZE_ALARM,103
START_SHUFFLE_MUSIC,16
STOP_MUSIC,32
SUBTRACT_TIME_TIMER,26
UNSUPPORTED_ALARM,37
UNSUPPORTED_EVENT,19
UNSUPPORTED_MUSIC,16
UNSUPPORTED_NAVIGATION,108
UNSUPPORTED_TIMER,77
UNSUPPORTED_WEATHER,61
UPDATE_ALARM,118
UPDATE_DIRECTIONS,12
UPDATE_REMINDER,22
UPDATE_REMINDER_DATE_TIME,76
UPDATE_REMINDER_TODO,13
UPDATE_TIMER,50
