label,count
CREATE_ALARM,273
SEND_MESSAGE,201
DELETE_REMINDER,62
GET_MESSAGE,33
GET_ESTIMATED_ARRIVAL,33
GET_EVENT,195
GET_WEATHER,567
CREATE_TIMER,97
DELETE_ALARM,87
REPLAY_MUSIC,25
GET_ESTIMATED_DURATION,67
CREATE_PLAYLIST_MUSIC,3
PLAY_MUSIC,145
UNSUPPORTED_EVENT,7
PAUSE_MUSIC,22
CREATE_REMINDER,251
GET_ALARM,85
RESUME_TIMER,23
SKIP_TRACK_MUSIC,30
UNSUPPORTED_NAVIGATION,39
GET_DISTANCE,34
RESTART_TIMER,16
UNSUPPORTED_TIMER,24
DELETE_TIMER,25
PAUSE_TIMER,34
GET_DIRECTIONS,31
GET_TIMER,52
GET_INFO_TRAFFIC,168
GET_REMINDER,36
GET_ESTIMATED_DEPARTURE,11
UPDATE_REMINDER,6
UPDATE_REMINDER_TODO,2
GET_INFO_ROAD_CONDITION,11
UPDATE_DIRECTIONS,5
SUBTRACT_TIME_TIMER,6
ADD_TO_PLAYLIST_MUSIC,6
UPDATE_ALARM,44
ADD_TIME_TIMER,29
UNSUPPORTED_WEATHER,21
SILENCE_ALARM,38
UPDATE_TIMER,7
PREVIOUS_TRACK_MUSIC,23
REACT_MESSAGE,7
SNOOZE_ALARM,31
UPDATE_REMINDER_DATE_TIME,17
GET_SUNSET,4
START_SHUFFLE_MUSIC,3
GET_REMINDER_LOCATION,2
UNSUPPORTED_MUSIC,3
REMOVE_FROM_PLAYLIST_MUSIC,7
GET_REMINDER_DATE_TIME,5
GET_REMINDER_AMOUNT,4
STOP_MUSIC,9
LIKE_MUSIC,5
LOOP_MUSIC,4
UNSUPPORTED_ALARM,8
GET_SUNRISE,5
DISLIKE_MUSIC,5
