slot,count
ALARM_NAME,132
AMOUNT,279
ATTENDEE,38
ATTENDEE_EVENT,4
ATTRIBUTE_EVENT,67
CATEGORY_EVENT,461
CATEGORY_LOCATION,146
CONTACT,120
CONTACT_RELATED,104
CONTENT_EMOJI,4
CONTENT_EXACT,481
DATE_TIME,4382
DATE_TIME_ARRIVAL,87
DATE_TIME_DEPARTURE,151
DATE_TIME_NEW,76
DATE_TIME_RECURRING,115
DESTINATION,381
DURATION,48
FREQUENCY,140
GROUP,35
LOCATION,1066
LOCATION_CURRENT,3
LOCATION_MODIFIER,68
LOCATION_USER,114
LOCATION_WORK,1
METHOD_RETRIEVAL_REMINDER,104
METHOD_TIMER,924
METHOD_TRAVEL,159
MUSIC_ALBUM_TITLE,10
MUSIC_ARTIST_NAME,211
MUSIC_GENRE,212
MUSIC_PLAYLIST_TITLE,68
MUSIC_PROVIDER_NAME,94
MUSIC_RADIO_ID,13
MUSIC_TRACK_TITLE,52
MUSIC_TYPE,811
MUTUAL_EMPLOYER,2
NAME_EVENT,65
OBSTRUCTION_AVOID,37
ORDINAL,228
ORGANIZER_EVENT,17
PATH,69
PATH_AVOID,9
PERIOD,74
PERSON_REMINDED,866
PERSON_REMINDED_ADDED,1
PERSON_REMINDED_REMOVED,1
POINT_ON_MAP,150
RECIPIENT,489
RECURRING_DATE_TIME,3
RECURRING_DATE_TIME_NEW,2
RESOURCE,47
ROAD_CONDITION,33
ROAD_CONDITION_AVOID,1
SEARCH_RADIUS,95
SENDER,9
SOURCE,215
TAG_MESSAGE,9
TIMER_NAME,88
TODO,1137
TODO_NEW,14
TYPE_CONTENT,68
TYPE_REACTION,31
TYPE_RELATION,190
UNIT_DISTANCE,40
WAYPOINT,3
WAYPOINT_AVOID,1
WEATHER_ATTRIBUTE,849
WEATHER_TEMPERATURE_UNIT,85
