label,count
ALARM_QUERY,142
ALARM_REMOVE,92
ALARM_REMOVE mera,1
ALARM_REMOVE snooze,1
ALARM_SET,182
ALARM_SET alarm,2
ALARM_SET ek,1
AUDIO_VOLUME_DOWN,63
AUDIO_VOLUME_MUTE,127
AUDIO_VOLUME_OTHER,22
AUDIO_VOLUME_UP,123
CALENDAR_QUERY,7
CALENDAR_SET,6
COOKING_RECIPE,2
DATETIME_CONVERT,57
DATETIME_QUERY,404
DATETIME_QUERY [SL:DATE 4,1
EMAIL_SENDEMAIL,1
GENERAL_GREET,23
GENERAL_JOKE,90
GENERAL_JOKE mere,1
GENERAL_JOKE mujhe,1
GENERAL_QUIRKY,27
GENERAL_QUIRKY [SL:PLACE_NAME mere,1
IOT_CLEANING,106
IOT_COFFEE,152
IOT_HUE_LIGHTCHANGE,167
IOT_HUE_LIGHTCHANGE ghar,1
IOT_HUE_LIGHTDIM,100
IOT_HUE_LIGHTDIM mere,1
IOT_HUE_LIGHTOFF,171
IOT_HUE_LIGHTON,26
IOT_HUE_LIGHTUP,94
IOT_WEMO_OFF,56
IOT_WEMO_OFF mera,1
IOT_WEMO_ON,50
IOT_WEMO_ON mera,1
MUSIC_DISLIKENESS,19
MUSIC_LIKENESS,144
MUSIC_QUERY,171
MUSIC_QUERY [SL:SONG_NAME hotel,1
MUSIC_SETTINGS,55
NEWS_QUERY,556
NEWS_QUERY [SL:NEWS_TOPIC elections],1
NEWS_QUERY earthquake,1
PLAY_AUDIOBOOK,2
PLAY_MUSIC,752
PLAY_MUSIC [SL:MUSIC_GENRE jazz],1
PLAY_MUSIC main,1
PLAY_PODCASTS,1
PLAY_RADIO,3
QA_FACTOID,4
QA_STOCK,9
RECOMMENDATION_EVENTS,1
RECOMMENDATION_LOCATIONS,1
SOCIAL_POST,1
SOCIAL_QUERY,2
TAKEAWAY_ORDER,143
TAKEAWAY_QUERY,153
TRANSPORT_QUERY,4
TRANSPORT_TICKET,2
WEATHER_QUERY,624
WEATHER_QUERY [SL:PLACE_NAME mere,1
WEATHER_QUERY current,1
alarm_query,3
alarm_remove,1
alarm_set,3
audio_volume_mute,5
datetime_convert,1
datetime_query,7
general_greet,2
general_joke,1
general_quirky,5
iot_cleaning,7
iot_hue_lightchange,6
iot_hue_lightdim,3
iot_hue_lightup,2
music_likeness,2
news_query,1
play_music,5
takeaway_order,3
takeaway_query,3
