label,count
alarm_set,3
audio_volume_mute,5
iot_hue_lightchange,6
IOT_HUE_LIGHTCHANGE,110
IOT_HUE_LIGHTOFF,125
IOT_HUE_LIGHTON,20
IOT_HUE_LIGHTDIM,84
iot_hue_lightdim,3
iot_cleaning,7
IOT_CLEANING,86
CALENDAR_QUERY,7
PLAY_MUSIC,549
GENERAL_QUIRKY,20
general_quirky,5
general_greet,2
datetime_query,7
datetime_convert,1
DATETIME_CONVERT,45
TAKEAWAY_QUERY,98
ALARM_REMOVE,76
alarm_remove,1
alarm_query,3
news_query,1
play_music,5
music_likeness,2
MUSIC_LIKENESS,109
MUSIC_QUERY,148
IOT_HUE_LIGHTUP,85
iot_hue_lightup,2
takeaway_order,3
takeaway_query,3
TAKEAWAY_ORDER,101
ALARM_SET,145
WEATHER_QUERY,457
NEWS_QUERY,402
MUSIC_SETTINGS,46
AUDIO_VOLUME_DOWN,43
GENERAL_JOKE,64
DATETIME_QUERY,288
MUSIC_DISLIKENESS,17
AUDIO_VOLUME_OTHER,19
IOT_COFFEE,115
GENERAL_GREET,19
AUDIO_VOLUME_UP,90
AUDIO_VOLUME_MUTE,86
IOT_WEMO_ON,27
ALARM_QUERY,99
IOT_WEMO_OFF,33
QA_STOCK,5
PLAY_RADIO,3
SOCIAL_POST,1
RECOMMENDATION_LOCATIONS,1
COOKING_RECIPE,2
general_joke,1
QA_FACTOID,3
RECOMMENDATION_EVENTS,1
ALARM_REMOVE snooze,1
ALARM_REMOVE mera,1
NEWS_QUERY [SL:NEWS_TOPIC elections],1
NEWS_QUERY earthquake,1
GENERAL_QUIRKY [SL:PLACE_NAME mere,1
MUSIC_QUERY [SL:SONG_NAME hotel,1
IOT_HUE_LIGHTCHANGE ghar,1
IOT_HUE_LIGHTDIM mere,1
WEATHER_QUERY current,1
WEATHER_QUERY [SL:PLACE_NAME mere,1
IOT_WEMO_OFF mera,1
IOT_WEMO_ON mera,1
PLAY_MUSIC [SL:MUSIC_GENRE jazz],1
PLAY_MUSIC main,1
ALARM_SET ek,1
ALARM_SET alarm,2
GENERAL_JOKE mere,1
GENERAL_JOKE mujhe,1
DATETIME_QUERY [SL:DATE 4,1
CALENDAR_SET,4
PLAY_AUDIOBOOK,2
PLAY_PODCASTS,1
SOCIAL_QUERY,2
TRANSPORT_QUERY,4
TRANSPORT_TICKET,2
