slot,count
ALARM_TYPE,12
APP_NAME,13
ARTIST_NAME,244
BUSINESS_NAME,117
BUSINESS_TYPE,44
CHANGE_AMOUNT,61
COFFEE_TYPE,21
COLOR_TYPE,137
DATE,603
DEVICE_TYPE,221
DRINK_TYPE,2
EVENT_NAME,41
FOOD_TYPE,130
GENERAL_FREQUENCY,9
HOUSE_PLACE,217
INGREDIENT,1
JOKE_TYPE,49
LIGHTS,2
MEAL_TYPE,10
MEDIA_TYPE,168
MOVIE_NAME,3
MUSIC_ALBUM,2
MUSIC_DESCRIPTOR,35
MUSIC_GENRE,200
MUSIC_TYPE,2
NEWS_TOPIC,215
ORDER_METHOD,1
ORDER_TYPE,123
PERSON,26
PLACE_NAME,388
PLAYER_SETTING,63
PLAYLIST_NAME,76
PLAYLIST_TYPE,2
POSSESSIVE,1
RELATION,4
SON,1
SONG_NAME,144
TIME,322
TIMEOFDAY,71
TIME_OF_DAY,8
TIME_REFERENCE,3
TIME_ZONE,57
TRANSPORT_TYPE,1
WEATHER_DESCRIPTOR,303
business_name,2
color_type,2
date,1
house_place,1
order_type,1
