slot,count
DATE,439
TIME,261
COLOR_TYPE,100
HOUSE_PLACE,168
CHANGE_AMOUNT,49
ARTIST_NAME,177
MEDIA_TYPE,117
PLACE_NAME,301
TIME_ZONE,44
FOOD_TYPE,95
ORDER_TYPE,90
NEWS_TOPIC,160
SONG_NAME,120
MUSIC_GENRE,150
DEVICE_TYPE,144
MEAL_TYPE,8
TIMEOFDAY,52
BUSINESS_NAME,74
GENERAL_FREQUENCY,8
WEATHER_DESCRIPTOR,222
PLAYER_SETTING,49
JOKE_TYPE,33
PLAYLIST_NAME,49
EVENT_NAME,26
ALARM_TYPE,12
MUSIC_DESCRIPTOR,27
PERSON,19
TIME_OF_DAY,8
LIGHTS,2
BUSINESS_TYPE,30
APP_NAME,7
,1
COFFEE_TYPE,20
house_place,1
color_type,2
business_name,2
order_type,1
date,1
TIME_REFERENCE,3
MUSIC_TYPE,2
ORDER_METHOD,1
PLAYLIST_TYPE,2
POSSESSIVE,1
DRINK_TYPE,1
RELATION,2
SON,1
MUSIC_ALBUM,2
