label,count
atis_abbreviation,123
atis_aircraft,57
atis_aircraft#atis_flight#atis_flight_no,1
atis_airfare,306
atis_airfare#atis_flight,1
atis_airline,137
atis_airline#atis_flight_no,1
atis_airport,30
atis_capacity,28
atis_cheapest,1
atis_city,19
atis_day_name,2
atis_distance,23
atis_flig,1
atis_fligh,4
atis_flight,2908
atis_flight#atis_airfare,22
atis_flight_no,16
atis_flight_time,32
atis_ground_fare,17
atis_ground_service,195
atis_meal,11
atis_quantity,34
atis_restriction,3
