slot,count
abbreviation,3
aircraft,2
aircraft_code,56
aircraft_type,10
airfare,1
airline,5
airline_code,98
airline_name,887
airport,1
airport_code,24
airport_name,110
arrive_date,2
arrive_date.date_relative,3
arrive_date.day_name,57
arrive_date.day_number,22
arrive_date.day_relative,2
arrive_date.month_name,29
arrive_date.today_relative,1
arrive_time,13
arrive_time.day_name,2
arrive_time.end_time,24
arrive_time.period_mod,2
arrive_time.period_of_day,46
arrive_time.start_time,16
arrive_time.time,222
arrive_time.time_range,7
arrive_time.time_relative,217
booking_class,1
city,8
city_name,247
class_type,260
code,1
compartment,1
connect,11
connecting,1
cost,2
cost_relative,431
date_time,5
date_time.day_name,1
date_time.period_of_day,2
day_name,3
days_code,1
depart_date,29
depart_date.date_relative,81
depart_date.day_name,715
depart_date.day_number,268
depart_date.day_relative,9
depart_date.month_name,284
depart_date.this_week,2
depart_date.time_relative,2
depart_date.today_relative,26
depart_date.year,19
depart_time,11
depart_time.day_name,1
depart_time.end_time,22
depart_time.flight_mod,1
depart_time.period_mod,30
depart_time.period_of_day,500
depart_time.start_time,20
depart_time.subh,2
depart_time.time,419
depart_time.time_range,7
depart_time.time_relative,400
direct,1
duration,2
economy,15
fare_amount,48
fare_basis_code,132
fare_code,9
fare_id.cost_relative,3
flight_days,43
flight_mod,342
flight_number,79
flight_stop,153
flight_stop_mod,4
flight_time,29
fromloc,23
fromloc.airport_code,17
fromloc.airport_name,166
fromloc.city_name,4017
fromloc.state_code,22
fromloc.state_name,48
location,2
location_mod,1
meal,45
meal_code,11
meal_description,53
mod,15
num_of_tickets,1
numflight,1
or,2
period_of_day,5
quantity,1
restriction_code,35
return_date.date_relative,11
return_date.day_name,2
return_date.day_number,1
return_date.month_name,1
return_flight,2
round_trip,340
state_code,5
state_name,11
stop_type,5
stoploc.city_name,218
stoploc.state_code,2
time_elapsed,2
time_relative,2
toloc,25
toloc.airport_code,17
toloc.airport_name,60
toloc.city_code,1
toloc.city_name,4470
toloc.country_name,3
toloc.service_city,1
toloc.state_code,37
toloc.state_name,80
transport_type,188
traveler_count,2
trip,1
trip_type,101
