slot,count
fromloc.city_name,3168
toloc.city_name,3515
round_trip,233
fare_amount,45
cost_relative,369
arrive_date.day_number,18
arrive_date.month_name,21
stoploc.city_name,186
arrive_time.time,167
meal_description,44
depart_date.month_name,227
depart_date.day_number,238
airline_name,719
depart_time.period_of_day,389
depart_date.day_name,512
toloc.state_name,52
depart_time.time_relative,329
toloc.airport_name,54
depart_date.date_relative,71
airline_code,68
class_type,232
depart_time.time,333
fromloc.airport_name,143
city_name,171
flight_mod,297
meal,33
economy,15
fare_basis_code,98
toloc.state_code,30
depart_date.today_relative,23
flight_stop,130
airport_code,15
arrive_time.time_relative,185
fromloc.state_name,30
connect,8
arrive_date.day_name,47
fromloc.state_code,14
arrive_date.today_relative,1
depart_date.year,16
depart_time.start_time,17
depart_time.end_time,18
arrive_time.start_time,5
arrive_time.end_time,8
flight_days,31
mod,14
flight_number,65
meal_code,8
airport_name,64
transport_type,147
state_code,5
aircraft_code,19
toloc.country_name,2
toloc.airport_code,13
return_date.date_relative,6
direct,1
connecting,1
fromloc.airport_code,12
arrive_time.period_of_day,39
depart_time.period_mod,25
flight_time,26
aircraft,2
return_date.day_name,1
airfare,1
fare_code,9
arrive_date.date_relative,2
restriction_code,28
or,2
arrive_time.period_mod,2
period_of_day,2
depart_date.this_week,2
stoploc.state_code,2
quantity,1
arrive_date,1
depart_date,17
arrive_time,11
depart_time,9
return_flight,2
stop_type,5
cost,2
trip_type,98
airport,1
fare_id.cost_relative,3
airline,1
depart_time.time_range,7
aircraft_type,10
arrive_time.time_range,7
time_relative,2
num_of_tickets,1
depart_date.day_relative,9
arrive_date.day_relative,2
arrive_time.day_name,2
time_elapsed,2
depart_time.day_name,1
traveler_count,2
state_name,1
abbreviation,3
flight_stop_mod,4
toloc.service_city,1
trip,1
location_mod,1
toloc.city_code,1
depart_time.subh,2
return_date.month_name,1
return_date.day_number,1
duration,2
day_name,2
